Name,URL,Longitude,Latitude,Country
Edelweiß Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=494,9.757061,49.994526,DE
Großneundorf Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=495,11.293516,50.537408,DE
Oberer Gemeindeberg/Unterer Gemeindeberg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=497,9.738253,48.925008,DE
Grün Startplatz Plösenthal,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=498,11.350690,50.180859,DE
Radspitze Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=500,11.434028,50.235392,DE
Hainberg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=502,11.525774,50.162604,DE
Görauer Anger Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=503,11.316969,50.053736,DE
Büchelstein Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=505,13.175588,48.808156,DE
Hausstein Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=509,13.073307,48.870962,DE
Jenner Startplatz HG,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=521,13.024676,47.576587,DE
Finkenhof Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=527,9.092173,49.334687,DE
Saalhausen - Dolberg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=528,8.160873,51.107927,DE
Osthang Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=531,11.910513,49.025328,DE
Schneitweg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=532,12.172301,49.129478,DE
Auen-Eckweiler Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=536,7.604881,49.839244,DE
Schwartenberg Startplatz Nord,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=539,13.465676,50.659609,DE
Meddersheim Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=540,7.583569,49.778925,DE
Fürmannalm / Irlberg Anger Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=542,12.840358,47.793063,DE
Heimatturm Colditz Übungshang,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=545,12.817655,51.116374,DE
Engleshof Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=547,12.211465,49.595587,DE
Schillenberg/Alte Rieder Straße/Gschlatt Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=548,10.619530,47.760993,DE
Osthang Herdorf Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=550,7.934167,50.769444,DE
Nordwesthang Sassenroth Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=551,7.929139,50.769750,DE
Gräfenthal Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=553,11.332222,50.522500,DE
Zopten Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=558,11.329436,50.517767,DE
Teufelsberg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=560,13.247023,52.502195,DE
Bastenberg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=561,9.323798,51.702838,DE
Südhang Wasserkuppe,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=565,9.937220,50.497350,DE
Stöckerkopf Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=566,8.368341,48.495560,DE
Adelberg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=573,7.960167,49.216506,DE
Jägerberg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=574,11.619666,50.969782,DE
Schauinsland Startplatz Rotlache,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=575,7.889599,47.909744,DE
Möslehang Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=579,8.058901,47.830789,DE
Heue / Bergalingen Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=581,7.939124,47.619645,DE
Unterschwarzach Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=582,11.713915,49.861632,DE
Frauenberg Startplatz Nordnordost,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=584,10.834442,51.377414,DE
Schloß Banz Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=588,10.998366,50.134596,DE
Neukenroth Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=589,11.269786,50.325750,DE
Eschlkam Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=590,12.928591,49.292357,DE
Pig Mountain Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=591,12.401247,49.012823,DE
Hundsberg Startplatz,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=592,9.410105,49.127093,DE
Stüppel Startplatz NW,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=595,8.429486,51.314312,DE
Wenholthausen Startplatz S/SW,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=596,8.189728,51.302837,DE
Meerfelder Maar Startplatz Süd,https://service.dhv.de/db2/details.php?qi=glp_details&popup=1&item=602,6.755991,50.106130,DE
